Start Time,End Time
0.09287981859410431,0.9287981859410431
0.9287981859410431,1.7414965986394557
1.7414965986394557,2.5774149659863945
2.5774149659863945,3.3901133786848074
3.3901133786848074,4.20281179138322
4.20281179138322,5.015510204081632
5.015510204081632,5.735328798185941
5.735328798185941,6.3854875283446715
6.3854875283446715,7.198185941043084
7.198185941043084,7.987664399092971
7.987664399092971,8.823582766439909
8.823582766439909,9.613061224489796
9.613061224489796,10.425759637188209
10.425759637188209,11.23845804988662
11.23845804988662,12.07437641723356
12.07437641723356,12.887074829931972
12.887074829931972,13.699773242630386
13.699773242630386,14.512471655328799
14.512471655328799,15.32517006802721
15.32517006802721,16.137868480725622
16.137868480725622,16.950566893424035
16.950566893424035,17.740045351473924
17.740045351473924,18.575963718820862
18.575963718820862,19.388662131519276
19.388662131519276,20.201360544217685
20.201360544217685,21.0140589569161
21.0140589569161,21.78031746031746
21.78031746031746,22.593015873015872
22.593015873015872,23.42893424036281
23.42893424036281,24.264852607709752
24.264852607709752,25.10077097505669
25.10077097505669,25.913469387755104
25.913469387755104,26.726167800453513
26.726167800453513,27.515646258503402
27.515646258503402,28.35156462585034
28.35156462585034,29.141043083900225
29.141043083900225,29.95374149659864
29.95374149659864,30.766439909297052
30.766439909297052,31.60235827664399
31.60235827664399,32.41505668934241
32.41505668934241,33.22775510204082
33.22775510204082,34.0172335600907
34.0172335600907,34.82993197278912
34.82993197278912,35.64263038548753
35.64263038548753,36.47854875283447
36.47854875283447,37.2215873015873
37.2215873015873,38.10394557823129
38.10394557823129,38.91664399092971
38.91664399092971,39.72934240362812
39.72934240362812,40.542040816326534
40.542040816326534,41.35473922902494
41.35473922902494,42.16743764172335
42.16743764172335,42.98013605442177
42.98013605442177,43.79283446712018
43.79283446712018,44.6055328798186
44.6055328798186,45.44145124716553
45.44145124716553,46.23092970521542
46.23092970521542,47.02040816326531
47.02040816326531,47.809886621315194
47.809886621315194,48.576145124716554
48.576145124716554,49.43528344671202
49.43528344671202,50.29442176870748
50.29442176870748,51.13034013605442
51.13034013605442,51.94303854875283
51.94303854875283,52.75573696145125
52.75573696145125,53.56843537414966
53.56843537414966,54.381133786848075
54.381133786848075,55.193832199546485
55.193832199546485,56.006530612244894
56.006530612244894,56.81922902494331
56.81922902494331,57.63192743764172
57.63192743764172,58.44462585034014
58.44462585034014,59.14122448979592
59.14122448979592,59.8378231292517
59.8378231292517,60.62730158730159
60.62730158730159,61.41678004535147
61.41678004535147,62.252698412698415
62.252698412698415,63.065396825396824
63.065396825396824,63.85487528344671
63.85487528344671,64.69079365079365
64.69079365079365,65.50349206349206
65.50349206349206,66.31619047619047
66.31619047619047,67.1288888888889
67.1288888888889,67.9415873015873
67.9415873015873,68.75428571428571
68.75428571428571,69.56698412698412
69.56698412698412,70.37968253968253
70.37968253968253,71.19238095238096
71.19238095238096,72.00507936507937
72.00507936507937,72.81777777777778
72.81777777777778,73.65369614512471
73.65369614512471,74.46639455782314
74.46639455782314,75.27909297052155
75.27909297052155,76.2311111111111
76.2311111111111,82.2311111111111
164.51914448855885,166.3014764782032
166.3014764782032,168.034299245913
168.034299245913,169.76712201362275
169.76712201362275,80.4107029478458
80.4107029478458,81.22340136054422
81.22340136054422,82.03609977324263
82.03609977324263,82.87201814058957
82.87201814058957,83.68471655328798
83.68471655328798,84.4974149659864
84.4974149659864,85.28689342403628
85.28689342403628,86.00671201814059
86.00671201814059,86.68009070294785
86.68009070294785,87.46956916099774
87.46956916099774,88.28226757369615
88.28226757369615,89.09496598639456
89.09496598639456,89.93088435374149
89.93088435374149,90.9990022675737
90.9990022675737,91.81170068027211
91.81170068027211,92.62439909297052
92.62439909297052,93.43709750566893
93.43709750566893,94.24979591836734
94.24979591836734,95.08571428571429
95.08571428571429,95.87519274376417
95.87519274376417,96.71111111111111
96.71111111111111,97.52380952380952
97.52380952380952,98.3132879818594
98.3132879818594,99.00988662131519
99.00988662131519,99.68326530612245
99.68326530612245,100.49596371882086
100.49596371882086,101.30866213151927
101.30866213151927,102.1213605442177
102.1213605442177,102.9340589569161
102.9340589569161,103.74675736961451
103.74675736961451,104.58267573696145
104.58267573696145,105.39537414965986
105.39537414965986,106.18485260770976
106.18485260770976,106.88145124716553
106.88145124716553,107.55482993197279
107.55482993197279,108.3675283446712
108.3675283446712,109.18022675736961
109.18022675736961,109.99292517006803
109.99292517006803,110.80562358276644
110.80562358276644,111.61832199546485
111.61832199546485,112.43102040816326
112.43102040816326,113.24371882086167
113.24371882086167,114.0564172335601
114.0564172335601,114.8691156462585
114.8691156462585,115.65859410430839
115.65859410430839,116.35519274376418
116.35519274376418,117.05179138321995
117.05179138321995,117.86448979591837
117.86448979591837,118.67718820861678
118.67718820861678,119.4898866213152
